소재지전체주소,도로명전체주소,사업장명,의료기관종별명,의료인수,입원실수,병상수,진료과목내용명
,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",한림대학교 강남성심병원,종합병원,1057,125,539,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치과보존과"
"서울특별시 서초구 반포동 736번지 9호 지하4층~9층/반포동 735-26 외1(지1층,2~4층)","서울특별시 서초구 강남대로 505 (반포동, 고도일 병원)",고도일병원,병원,48,43,130,"신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
서울특별시 서초구 반포4동 44번지 3호,서울특별시 서초구 서초중앙로 197 (반포동),강남요양병원,요양병원(일반요양병원),15,27,113,"내과, 외과, 신경외과, 재활의학과, 가정의학과, 한방내과, 침구과"
"서울특별시 서초구 양재동 20번지 7호 /양재동 20-4, 2층/양재동 20-20(지1~3층)",서울특별시 서초구 바우뫼로35길 32 (양재동),참포도나무병원,병원,58,9,38,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
서울특별시 서초구 서초동 1657-1 서울365mc병원,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",365엠씨(mc)병원,병원,23,13,46,"외과, 성형외과, 피부과, 가정의학과"
서울특별시 서초구 서초동 1603-1 블루핀타워,"서울특별시 서초구 서초중앙로 42, 블루핀타워 지하2층,지하1층,1층,2층,3층 동 (서초동)",장덕한방병원,한방병원,28,14,53,"내과, 신경과, 마취통증의학과, 영상의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 서초구 방배동 765번지 28호 1~3층,"서울특별시 서초구 동작대로 196, 1~3층 (방배동)",이건목원리한방병원,한방병원,6,10,30,"마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,서울특별시 서초구 서초중앙로 47 (서초동),세바른병원,병원,42,10,38,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과"
서울특별시 영등포구 영등포동4가 156번지,서울특별시 영등포구 영신로 136 (영등포동4가),건양의료재단 김안과병원,병원,132,29,77,"내과, 마취통증의학과, 안과, 영상의학과, 진단검사의학과"
,서울특별시 영등포구 당산로31길 10 (당산동3가),의료법인 인봉의료재단 영등포병원,병원,59,24,89,"내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 비뇨의학과, 영상의학과, 재활의학과, 직업환경의학과"
,서울특별시 영등포구 양평로22사길 9 (양평동5가),서울은빛요양병원,요양병원(일반요양병원),31,66,209,"내과, 외과, 심장혈관흉부외과, 재활의학과, 한방내과, 침구과"
,서울특별시 서초구 반포대로9길 42 (서초동),의료법인 부원의료재단 서초요양병원,요양병원(일반요양병원),15,25,117,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 산부인과, 진단검사의학과, 재활의학과, 가정의학과, 한방내과, 침구과"
서울특별시 성동구 홍익동 102번지,서울특별시 성동구 마장로 207 (홍익동),서울특별시장애인치과병원,치과병원,11,0,0,"마취통증의학과, 치과"
서울특별시 성동구 성수2가3동 275번지 2호,서울특별시 성동구 동일로 93 (성수동2가),서울효사랑요양병원,요양병원(일반요양병원),34,25,147,"내과, 신경과, 정형외과, 마취통증의학과, 재활의학과, 가정의학과, 한방내과, 침구과"
서울특별시 성동구 용답동 235번지 8호,"서울특별시 성동구 자동차시장1길 85, 지하1,지상3~5층 (용답동, JS빌딩)",시온요양병원,요양병원(일반요양병원),30,27,160,"내과, 신경과, 정형외과, 신경외과, 영상의학과, 재활의학과, 한방내과, 한방부인과, 한방안·이비인후·피부과, 한방재활의학과, 침구과"
서울특별시 성동구 용답동 235-3 2~7층,"서울특별시 성동구 천호대로 436, 2~7층 (용답동)",굿모닝요양병원,요양병원(일반요양병원),11,33,195,"내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 산부인과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 성동구 송정동 81번지 14호,서울특별시 성동구 광나루로 243 (송정동),학교법인대진교육재단 제인병원,병원,20,31,98,"내과, 영상의학과, 재활의학과, 가정의학과, 한방내과, 구강내과, 통합치의학과"
,"서울특별시 서초구 양재대로 54, 지1,2층, 2~9층 (우면동, 서초참병원)",의료법인 참예원의료재단 서초참요양병원,요양병원(일반요양병원),49,91,165,"내과, 신경과, 재활의학과, 가정의학과, 한방내과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 구강악안면외과, 치과보철과, 치주과, 치과보존과, 구강내과"
서울특별시 서초구 방배동 446번지 3호 지하1층~3층,서울특별시 서초구 방배천로2길 22 (방배동),서초프라임요양병원,요양병원(일반요양병원),45,55,224,"내과, 신경과, 외과, 정형외과, 신경외과, 재활의학과, 한방내과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과"
서울특별시 서초구 서초동 1515번지 4호 서원빌딩,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",올바로병원,병원,7,21,68,"내과, 정형외과, 신경외과, 영상의학과"
서울특별시 서초구 잠원동 38번지 25호 기린한방병원,"서울특별시 서초구 신반포로49길 3, 기린한방병원 (잠원동)",길인의료재단 기린한방병원,한방병원,1,12,30,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
서울특별시 서초구 서초동 1602번지 8호,서울특별시 서초구 서초중앙로 39 (서초동),서울21세기병원,병원,69,21,80,"내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
서울특별시 서초구 방배동 852번지 20호,"서울특별시 서초구 방배로 177, 4~6층 (방배동)",가야치과병원,치과병원,6,0,0,치과
,서울특별시 성동구 왕십리로 222-1 (사근동),한양대학교병원,종합병원,1406,248,862,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 결핵과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과"
서울특별시 성동구 도선동 365번지 1호,서울특별시 성동구 무학로2길 8 (도선동),연세슬기병원,병원,13,24,61,"내과, 외과, 정형외과, 신경외과, 성형외과, 소아청소년과, 피부과, 비뇨의학과, 진단검사의학과, 재활의학과"
경기도 시흥시 정왕동 1366번지 11호 센트럴 병원,"경기도 시흥시 공단1대로 237, 제B동 3층,4층,5층,6층일부,7층 (정왕동)",의료법인석경의료재단 센트럴요양병원,요양병원(일반요양병원),31,47,198,"내과, 신경과, 외과, 신경외과, 재활의학과, 가정의학과, 응급의학과, 한방내과, 한방재활의학과, 침구과"
"서울특별시 광진구 자양동 24-9 B1~2, 2~7층","서울특별시 광진구 동일로 92-1, B1~2, 2~7층 (자양동)",서울프라임병원,병원,12,20,59,"내과, 정형외과, 신경외과, 소아청소년과, 영상의학과, 가정의학과"
경상남도 김해시 진영읍 여래리 969-1,"경상남도 김해시 진영읍 본산로 15-17, 굿프라임시티 301,303,304호",진영새싹병원,병원,22,31,51,"내과, 소아청소년과, 이비인후과, 피부과"
경상남도 김해시 부원동 852번지 5호 4~7층,"경상남도 김해시 가락로 42, 4~7층 (부원동)",김해바른병원,병원,10,16,55,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과"
,충청북도 청주시 흥덕구 오송읍 오송생명1로 191-0,재단법인베스티안재단베스티안병원,종합병원,0,61,208,"내과, 외과, 정형외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 진단검사의학과, 가정의학과, 응급의학과"
"대구광역시 북구 대현동 415번지 2호 지하1층일부,1일부,5층,6층일부,7~8층","대구광역시 북구 대현로 46, 지하1층일부,1일부,5층,6층일부,7~8층 (대현동)",의료법인 효민의료재단 큰사랑병원,병원,17,22,80,"내과, 신경과, 소아청소년과, 재활의학과, 가정의학과"
,전라남도 목포시 옥암로 77-1 (상동),편안한방병원,한방병원,20,24,80,
경기도 김포시 풍무동 35번지 15호,"경기도 김포시 풍무로 176, 4-7층 (풍무동)",일로한방병원,한방병원,16,22,60,"내과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방재활의학과, 사상체질과, 침구과"
,"대전광역시 유성구 도안대로567번길 26-0, 0동 (봉명동)",의료법인비에스의료재단 브레인요양병원,요양병원(일반요양병원),35,51,242,"내과, 신경과, 외과, 마취통증의학과, 피부과, 재활의학과, 가정의학과, 한방내과"
"서울특별시 강동구 성내동 452 지하3, 지하1 일부, 1~5층","서울특별시 강동구 강동대로 143-52, 지하3, 지하1 일부, 1~5층 (성내동)",포레스트한방병원,한방병원,27,25,89,"마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,광주광역시 남구 봉선로 14 (주월동),중앙생한방병원,한방병원,6,31,79,"내과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
,"서울특별시 구로구 경인로 176, 501,502,601호 (오류동, 시티월드)",일로한방병원,한방병원,20,17,54,"산부인과, 한방내과, 한방재활의학과, 침구과"
"서울특별시 금천구 시흥동 1031번지 엠타워 7,8,9,14,지하2층","서울특별시 금천구 시흥대로73길 67, 엠타워 7,8,9,14,지하2층 (시흥동)",파라솔요양병원,요양병원(일반요양병원),8,37,200,"내과, 신경과, 외과, 정형외과, 신경외과, 산부인과, 재활의학과, 가정의학과, 사상체질과, 침구과"
,"서울특별시 구로구 중앙로 64, 고척프라자 가동 4,5층/나동3,4층 (고척동)",오케이요양병원,요양병원(일반요양병원),33,46,242,"내과, 신경외과, 재활의학과, 가정의학과, 한방내과, 침구과"
,"서울특별시 송파구 석촌호수로 61, 트리지움상가 201호 (잠실동)",더바름치과병원,치과병원,6,0,0,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과"
서울특별시 강서구 화곡동 1065번지 22호 터보빌딩,"서울특별시 강서구 강서로 173, 터보빌딩 7,8,9층 (화곡동)",힘찬하나로한방병원,한방병원,9,26,65,"정형외과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
