충전소이름,이용가능시간,자세한 위치,주차비,등록일자
진주혁신도시 센텀리버파크,24시간  ※외부인 개방,101동34라인앞 지하1층주차장  B12기둥,무료,2017.10.31 7:43
옥성골든카운티 노인복지주택,24시간  ※외부인 개방,아파트 내 골든복마트 옆 노면,부가정보없음,2017.10.31 7:43
남서울직할,24시간,남서울본부 여의사옥 지사주차장 출구측,충전시 1시간 주차무료,2016.10.27 0:00
동탄2 반도유보라 아이비파크1차아파트,24시간,B1F B98,0,2017.7.4 0:00
오산엘리시아아파트,24시간,104동 B1F B18,0,2017.7.4 0:00
상도파크자이,24시간,지하2층 주차장 101동 앞,관리사무소,2017.8.12 0:00
꿈마을삼환한진,24시간,지하주차장,부가정보없음,2017.8.25 0:00
유림동주민센터,24시간,지상주차장,0,2017.11.17 9:29
학장동신구덕우성 아파트,24시간  ※외부인 개방,지하주차장,무료,2017.8.25 0:00
동원로얄듀크비스타,24시간,지하주차장,무료,2017.8.25 0:00
헌릉로745길 노상주차장,24시간,일방통행으로 반바퀴 돌면 있음,부가정보없음,2017.11.17 9:29
제주국제평화센터,주중/주말 : 24시간,본관 맞은편 주차장,주차비 없음,2017.2.27 0:00
동현현대 아파트,24시간  ※외부인 개방,지하주차장,0,2017.7.4 0:00
회야강 소공원 공영주차장,24시간,공영주차장 입구 지나서 좌측,부가정보없음,2018.9.12 17:00
이안전주삼천아파트,24시간,부가정보없음,부가정보없음,2018.3.8 16:35
다대롯데캐슬블루,24시간,106동 B2 주차장 No.22기둥 6면,무료,2017.7.9 0:00
울산대공원 정문주차장,24시간,주차장입구 진입 후 직진하여 제일 후방 주차면,충전시 주차비 50%할인,2017.2.27 0:00
율량7단지선광로즈웰1차 아파트,24시간  ※외부인 개방,지하2층주차장 B37 702동 출입구 주차면,부가정보없음,2017.8.12 0:00
아크로힐스논현,24시간,지하2층,부가정보없음,2018.1.30 20:18
모종캐슬어울림3단지 아파트,24시간,지하 B1.08번 기둥,부가정보없음,2018.10.29 16:32
주천면사무소,24시간,주천면사무소 입구진입 후 좌측,없음,2018.11.22 9:07
남원문화예술지원센터,24시간,지원센터 주차장,부가정보없음,2018.11.22 9:07
효자종합시장공영주차장,24시간,지상주차장,무료,2018.11.22 9:07
건강과 성박물관,24시간,주차장,무료,2018.11.22 9:07
장기동 초당마을 중흥S클래스,24시간,"지하2층 주차장 312동 1,2호라인 옆 (블럭번호 B09)",0,2017.4.12 19:06
푸르지오캐슬A단지아파트,부가정보없음,117동 지하주차장1층,부가정보없음,2017.4.12 19:06
도안2블럭 호반베르디움,24시간,아파트 207동 지하,부가정보없음,2017.4.12 19:06
용산더프라임,24시간,용산더프라임아파트 지하,부가정보없음,2017.7.4 0:00
답십리래미안위브1블럭,24시간,지하주차장 1층 201동 5-6라인,부가정보없음,2017.11.2 15:18
제일2차하이빌 아파트,24시간,(실내지하)P2 지하주차장 내,0,2017.8.12 0:00
봉담동일하이빌아파트,24시간  ※외부인 개방,P1주차장 1F 36,0,2017.7.4 0:00
서창LH6단지,24시간,지하1층 C44,부가정보없음,2017.8.25 0:00
방선문3차빌리지,24시간,주차장,없음,2017.7.9 0:00
엘지메트로시티 아파트(123동),24시간,123동 지하주차장,무료,2017.9.14 9:09
충주성원아파트,24시간  ※외부인 개방,1동 지상주차장,0,2018.11.12 9:32
성서우방유쉘 아파트,24시간,지하주차장(103-106동 사이),0,2017.8.25 0:00
삼도뷰엔빌스마트,24시간  ※외부인 개방,103동 지하 2층 D12구역,0,2017.8.25 0:00
호려울마을8,24시간,지하주차장,해당없음,2018.11.12 9:32
마곡엠밸리8단지,06~23시,지하1층 좌측 806동 A06기둥,0,2018.11.12 9:32
아라주원라비앙,24시간,주차장,부가정보없음,2017.8.25 0:00
도곡초교 공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
은파호수공원,24시간,공원 주차장 은파 관리사무소 뒤,0,2017.11.17 9:29
새샘마을3단지아파트,24시간,지하주차장,부가정보없음,2017.11.29 16:53
이안전주삼천아파트,부가정보없음,부가정보없음,부가정보없음,2017.11.29 16:53
창원송정주공아파트,24시간  ※외부인 개방,입주민센터 앞,없음,2017.12.6 17:29
왕지수매골 주차장,24시간,(실외완전노출)공영 주차장 내,무료,2017.11.17 9:29
김포유현마을신동아,24시간,지하 1층 4번 주차장(블럭번호 7),0,2017.8.25 0:00
부곡롯데캐슬디아망 아파트,24시간,지하3층 104동 06기둥,무료,2017.8.25 0:00
마이산 관광단지 공영주차장,24시간,공영 주차장 화장실 옆,부가정보없음,2017.9.19 16:25
홈플러스 광주계림점,10~23시,(실내지상)지상주차장4층,부가정보없음,2017.9.19 16:25
전주송천한라비발디2단지,부가정보없음,"지하주차장 출입구 근처, 주차장3면",부가정보없음,2017.8.12 0:00
휘경주공1단지,24시간,지하주차장 2층 D-69,부가정보없음,2017.8.12 0:00
탄현역 환승공영주차장,24시간,지하2층 끝,부가정보없음,2017.9.19 16:25
홈플러스 대구수성점,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
증포한솔솔파크,24시간  ※외부인 개방,지하1층 101동,0,2017.8.25 0:00
송림마을2단지,24시간,지하,부가정보없음,2017.7.9 0:00
사천지사,24시간,지상주차장,무료,2016.10.27 0:00
대성 하이웨이주유소,24시간,주유소 뒷편 오토오아시스 측면,부가정보없음,2018.11.9 15:15
동부시장공영주차장,24시간,(실내지상)공영 주차장,0,2017.11.17 9:29
동구청앞 공영주차장,24시간,주차장 입구로부터 50m직진,있음,2017.11.17 9:29
종촌공영주차장,24시간,지상 2층 주차장,부가정보없음,2017.11.29 15:39
함안공설운동장 및 스포츠센터,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
거제자이 아파트,24시간  ※외부인 개방,108동뒤 지하1층주차장 A04기둥,무료,2017.7.9 0:00
포항시청,24시간,본관 1층주차장,1시간 무료,2017.11.17 9:29
홈플러스 간석점,부가정보없음,부가정보없음,부가정보없음,2017.11.17 9:29
도안문화센타,24시간,지상주차장 내,무료,2017.11.17 9:29
동작구청 주차장,부가정보없음,부가정보없음,부가정보없음,2017.11.29 15:39
동산라인아파트,24시간  ※외부인 개방,101동 앞 지상 주차장,부가정보없음,2017.11.29 16:53
서수원레이크푸르지오1단지,24시간  ※외부인 개방,105동 B1 18번기둥옆 호수방향,부가정보없음,2018.10.29 16:32
대천동주민센터,주중/주말 : 24시간,주차장 입구 왼쪽,주차비 없음,2017.2.27 0:00
첨단3-2차호반리젠시빌,24시간,(실내지하)주차장 P1,무료,2017.8.12 0:00
주월3단지이지더원 아파트,24시간,(실내지하)아파트 주차장(D03),무료,2017.7.4 0:00
홈플러스 화성동탄점,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
석탄회관,"주중 08시~22시, 토 08시~13시, 공휴일 미개방",지상주차장(1층) 진입 후 우측,"충전시 주차비 1시간 면제, 1시간 초과 50%할인",2017.2.27 0:00
대장경테마파크,24시간,4번 지상주차장(주소: 가야면 야천리 896),무료,2017.9.19 16:25
송파삼성래미안,24시간,지하2층 103동 3-4라인,부가정보없음,2017.7.4 0:00
금왕두진하트리움3,24시간  ※외부인 개방,지하주차장 303동,부가정보없음,2017.8.12 0:00
동서변그린빌아파트,24시간  ※외부인 개방,802동 지하주차장,0,2018.1.30 20:18
서면한신아파트,부가정보없음,지하(102동),부가정보없음,2018.1.30 20:18
경산푸르지오,24시간  ※외부인 개방,지하 1층,무료,2017.8.12 0:00
율량제일풍경채,24시간  ※외부인 개방,1002동 A40 (지하1층주차장),부가정보없음,2017.11.29 16:53
신동아아파트,부가정보없음,지하1층,부가정보없음,2017.12.6 17:29
종합스포츠타운,24시간,부가정보없음,부가정보없음,2017.10.23 16:04
초원샤르망아파트,24시간,(실내지하)101동 전기실 옆,부가정보없음,2018.10.29 16:32
수송세영리첼아파트,24시간  ※외부인 개방,104동 뒤 지하주차장,0,2018.10.29 16:32
영화블렌하임아파트,24시간  ※외부인 개방,104동 B3F(C03),부가정보없음,2017.8.12 0:00
용현대우 아파트,미개방,제2주차장 지하1층 16-17구역,없음,2017.7.9 0:00
대전충남직할(공용),주중/주말 : 24시간,"본부 정문기준 좌,우측 주차장 각 1기",충전시 무료,2016.10.27 0:00
홈플러스 삼천포점,06~23시,3층주차장(12기둥),무료,2017.9.19 16:25
롯데캐슬프레지던트,24시간,지하주차장 7층,부가정보없음,2017.8.12 0:00
골드클래스,24시간  ※외부인 개방,"지하주차장(104-105동 사이, C18)",부가정보없음,2017.8.12 0:00
지엘리더스파크골드 1단지,24시간  ※외부인 개방,지하주차장(안쪽 끝),0,2018.10.29 16:32
창전삼성 아파트,24시간,지하,부가정보없음,2017.8.25 0:00
LH 리더스 하임 아파트,24시간,807동 B1F G08,0,2017.8.25 0:00
최참판댁 소형 주차장,24시간,지상주차장,공영주차장,2017.11.17 9:29
삼성명가타운,부가정보없음,구내주차장,부가정보없음,2017.8.12 0:00
남원주두산위브 아파트,24시간,105동 앞 재활용창고 측면 및 주차장,무료,2017.8.12 0:00
상인자이 아파트,부가정보없음,아파트 구내 주차장,부가정보없음,2017.8.12 0:00
호반베르디움더클래스,24시간  ※외부인 개방,지하주차장(207동 12라인),0,2017.8.12 0:00
송악e편한세상 아파트,24시간  ※외부인 개방,송악 이편한세상 APT 관리사무소 앞,0,2017.4.12 19:06
홈플러스 강릉점,24시간,홈플러스 강릉점 지하1층 주차장,무료,2017.9.19 16:25
수송제일오투그란데2단지 아파트,24시간,지하 1층 주차장 508동 끝,0,2017.8.25 0:00
황골주공 1단지 아파트,24시간,급속01: 1주차장 B2F  급속02: 3주차장 B2F,0,2017.7.4 0:00
신주례엘지2단지 아파트,24시간  ※외부인 개방,관리동 지하2층 주차장,무료,2017.8.12 0:00
한국농어촌공사,24시간,지상주차장,부가정보없음,2018.10.15 17:41
개인택시조합,주중/주말 : 24시간,세차시설 왼쪽,주차비 없음,2017.2.27 0:00
홍천지사,24시간,사옥 주차장 정문 왼편,충전시 무료,2017.2.27 0:00
고척돔구장,부가정보없음,1루 주차장 입구 옆,부가정보없음,2017.2.27 0:00
베스트힐 주차장(조천읍),주중/주말 : 24시간,베스트힐 입구 오른쪽 도로 안쪽,주차비 없음,2017.2.27 0:00
김포시청 주차장,24시간,지상주차장,0,2017.9.19 16:25
방배1차 e편한세상,24시간,B2-103,부가정보없음,2017.10.31 7:43
서해그랑블아파트,24시간,지하주차장 B2 3~4번기둥 사이,부가정보없음,2017.7.4 0:00
한신더휴아파트,24시간,105동 지하1층 주차장,0,2018.11.12 9:32
인천전력관리처,24시간,사옥 주차장 정문 왼편,충전시 무료,2017.2.27 0:00
월명종합체육관,24시간,월명 종합 체육관 야구장 주차장,부가정보없음,2017.11.17 9:29
명지국제호반베르디움1차,24시간,12동 지하1층,무료,2017.8.25 0:00
수성코오롱하늘채,24시간,지하1층,부가정보없음,2017.7.9 0:00
진천역대우이안 아파트,24시간,지하주차장(103-104동 사이),0,2017.8.12 0:00
중문메리디안,24시간  ※외부인 개방,중문메디안2차 입구 주차장,없음,2017.8.25 0:00
퀸덤1차에디슨타운,부가정보없음,지하12층 주차장 내 기계실 부근,부가정보없음,2017.8.12 0:00
영도그린힐,부가정보없음,주차장,부가정보없음,2017.8.12 0:00
남가좌삼성 아파트,24시간(입주민전용),지하2층 전기실,없음(입주민),2017.8.12 0:00
달성2차청아람 아파트,24시간,"지하2층주차장(212동 근처, 39번)",0,2017.7.4 0:00
광양지사,24시간,(실외완전노출) 지사 사옥뒷편 주차장,충전시 무료,2016.10.27 0:00
광교마을46단지 광교스타클래스,24시간,B2 A27,부가정보없음,2017.10.31 7:43
시범예미지아파트,24시간,1003동 B2F 1 D04,0,2017.7.4 0:00
서울가든 아파트,24시간,2동 뒤편 노인정 앞,부가정보없음,2017.7.4 0:00
경희궁의아침3단지 아파트,24시간,"지하3층 주차장 7,8번 기둥",없음,2017.7.4 0:00
청송 아파트,24시간,청송아파트 후문 놀이터 옆 지상주차장,무료,2017.8.12 0:00
고덕아이파크,24시간,지하2층 104동 녹색기둥 B52,입주민,2017.7.4 0:00
상도엠코타운애스톤파크 아파트,24시간,지하2층,부가정보없음,2017.10.24 17:06
경보그레이스 힐,24시간,지하1층,입주자,2017.10.27 11:58
농어촌공사 영덕·울진지사,24시간,지상주차장,0,2018.11.22 9:06
거제면사무소,24시간,사무소정면 오른쪽 지상주차장,무료,2018.11.22 9:06
메타세쿼이아길,24시간,(실외캐노피기기설)제2주자창 안쪽,무료,2018.11.22 9:07
칠산서부동 주민자치센터,24시간,진입시 보이는 건물 우측,무료,2018.9.12 16:30
해운대메트로하이츠 아파트,24시간,전기실 인접 주차장,무료,2017.8.12 0:00
구례산이고운아파트,24시간  ※외부인 개방,(실외완전노출) 101동 앞 주차장,없음,2018.11.12 9:32
양지마을 5단지 건영빌라,24시간,지하주차장 B17,부가정보없음,2018.11.12 9:32
칠곡현대아파트,24시간  ※외부인 개방,지상,0,2018.11.12 9:32
퀸스타운동성아파트,24시간,지하1층 204동앞,부가정보없음,2017.11.29 16:53
금촌파라다이스 아파트,24시간  ※외부인 개방,구내 지상주차장 단지출입정문 옆,0,2017.8.12 0:00
강일리버파크7단지 아파트,24시간,702동 앞 주차장 지하2층 A14 기둥,부가정보없음,2017.6.28 19:58
대유대림 아파트,24시간,주차장,부가정보없음,2017.8.12 0:00
하나로마트 파주점,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
포항지사,24시간,사옥내 주차장,해당 충전기 이용시간만 주차가능(장기주차불가),2016.10.27 0:00
힐데스하임,24시간,지하주차장(107-108동 사이),0,2017.4.12 19:06
창원마린푸르지오1단지,24시간,지하2층 주차장 107동 1.2라인옆,0,2017.7.9 0:00
송파구청주차장,24시간,지상주차장,부가정보없음,2017.1.16 0:00
부천범박힐스테이트2단지,24시간,지하주차장,부가정보없음,2017.8.12 0:00
오산운암주공1단지 주공아파트,24시간,제8주차장 110동 앞 B1F,0,2017.7.4 0:00
관악벽산블루밍,24시간,107동 지하1층(변전실에서 40m),관리사무소,2017.7.4 0:00
노원자원회수시설,24시간,부가정보없음,부가정보없음,2017.2.27 0:00
신성둔촌미소지움아파트 입주자대표회의,24시간,지하2층,입주자,2017.10.27 11:58
